,ip.src,port.src,ip.dst,port.dst,proto,ssl_flag,tls_version,sni_flag,cert_chain_len,self_cert_flag,valid_avg,valid_std,expire_flag,age_avg,san_dns_num_avg,consistent_flag,cert_num,fw_pkt_l_max,fw_pkt_l_min ,fw_pkt_l_avg,fw_pkt_l_var,fw_pkt_l_std,fw_byt_s,fw_pkt_s,fw_iat_min,fw_iat_max,fw_iat_avg,fw_iat_std,fw_iat_tot,fw_fin_cnt,fw_syn_cnt,fw_rst_cnt,fw_psh_cnt,fw_ack_cnt,fw_urg_cnt,fw_ece_cnt,fw_cwr_cnt,fw_10_p,fw_20_p,fw_30_p,fw_40_p,fw_50_p,fw_60_p,fw_70_p,fw_80_p,fw_90_p,fw_duration,bw_pkt_l_max,bw_pkt_l_min ,bw_pkt_l_avg,bw_pkt_l_var,bw_pkt_l_std,bw_byt_s,bw_pkt_s,bw_iat_min,bw_iat_max,bw_iat_avg,bw_iat_std,bw_iat_tot,bw_fin_cnt,bw_syn_cnt,bw_rst_cnt,bw_psh_cnt,bw_ack_cnt,bw_urg_cnt,bw_ece_cnt,bw_cwr_cnt,bw_10_p,bw_20_p,bw_30_p,bw_40_p,bw_50_p,bw_60_p,bw_70_p,bw_80_p,bw_90_p,bw_duration,fl_pkt_l_max,fl_pkt_l_min ,fl_pkt_l_avg,fl_pkt_l_var,fl_pkt_l_std,fl_byt_s,fl_pkt_s,fl_iat_min,fl_iat_max,fl_iat_avg,fl_iat_std,fl_iat_tot,fl_fin_cnt,fl_syn_cnt,fl_rst_cnt,fl_psh_cnt,fl_ack_cnt,fl_urg_cnt,fl_ece_cnt,fl_cwr_cnt,fl_10_p,fl_20_p,fl_30_p,fl_40_p,fl_50_p,fl_60_p,fl_70_p,fl_80_p,fl_90_p,fl_duration,fw_hdr_len,bw_hdr_len,down_up_ratio,fw_seg_avg,bw_seg_avg,fw_seg_cnt,bw_seg_cnt,fl_seg_cnt,conn_state
863,10.12.11.103,49357,217.29.53.132,443,1,1,3,1,1,1.0,172800000.0,0.0,0,0.9877077284446238,0.0,0,1,893,40,223.5,73291.65,285.36847525027474,716.7467969275716,3.2069207916222444,1.8000000636675395e-05,1.274660999999469,0.3464728888888607,0.4573703078276123,3.1182559999997466,1,2,0,4,9,0,0,0,40.0,40.0,40.0,40.0,46.0,123.59999999999992,281.1,410.6,504.1999999999998,3.1182559999997466,1009,40,197.88888888888889,94482.98765432098,326.02662638366075,712.3227842102247,3.599609802297598,0.0,1.274435999999696,0.277807888888876,0.4576881324731925,2.500270999999884,1,1,0,3,9,0,0,0,40.0,40.0,40.0,40.0,40.0,43.2,96.19999999999996,237.4000000000001,519.4000000000001,2.500270999999884,1009,40,211.3684210526316,83493.18005540167,296.8698200533014,1287.8944337047938,6.093126055874273,0.0,1.274435999999696,0.1641193684210616,0.3528119669213296,3.118268000000171,2,3,0,7,18,0,0,0,40.0,40.0,40.0,40.0,40.0,50.39999999999999,191.0,397.4,547.3999999999996,3.118268000000171,200,180,0.7968680089485458,0,0,0,0,0,SF
864,10.12.19.102,49327,193.33.133.88,80,1,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,409,40,103.5,18685.25,149.74077600974292,5.067124301699678,0.04895772272173603,0.0003149999993183,75.04207099999985,24.510944000000016,34.63767903692615,122.55472000000007,1,2,0,1,5,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,46.0,52.0,230.5,122.55472000000007,243,40,81.4,6531.039999999999,90.35374923045528,3.332465691365031,0.04093938195780136,0.0,75.0421839999999,24.42635800000007,34.71175615212259,122.13179000000036,1,1,0,2,5,0,0,0,40.0,40.0,40.0,40.0,40.0,41.6,43.2,83.80000000000004,163.40000000000003,122.13179000000036,409,40,93.45454545454544,13281.702479338845,120.87130646796504,8.388088662782547,0.08975581253950195,0.0,75.04193600000053,11.141339727272763,25.372351928817334,122.5547370000004,2,3,0,3,10,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,44.0,52.0,243.0,122.5547370000004,120,100,0.6553945249597424,0,0,0,0,0,SF
865,10.12.11.103,49358,217.197.116.29,80,1,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,410,40,103.66666666666669,18787.22222222222,150.14881506913954,5.139017444650836,0.04957251554325565,0.0003930000002583,74.99769099999958,24.206962000000026,34.35943171283102,121.0348100000001,1,2,0,1,5,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,46.0,52.0,231.0,121.0348100000001,243,40,81.4,6531.039999999999,90.35374923045528,3.378292289018787,0.041502362272958074,0.0,74.99767500000053,24.095014000000084,34.45657850802774,120.4750700000004,1,1,0,2,5,0,0,0,40.0,40.0,40.0,40.0,40.0,41.6,43.2,83.80000000000004,163.40000000000003,120.4750700000004,410,40,93.54545454545456,13339.15702479339,121.13245942881176,8.501685151318542,0.09088293164674827,0.0,74.99748100000033,11.00316618181825,25.140344233375327,121.03482800000074,2,3,0,3,10,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,44.0,52.0,243.0,121.03482800000074,120,100,0.6543408360128617,0,0,0,0,0,SF
866,10.12.19.102,49328,185.130.212.105,443,1,1,3,1,1,1.0,172800000.0,0.0,0,0.9842360096977025,0.0,0,1,398,40,110.0,15651.0,133.74175542012728,610.2013178962704,5.547284708147913,0.0005170000004,0.4070359999996071,0.2060209999999642,0.1947261387285846,1.4421469999997498,1,2,0,2,7,0,0,0,40.0,40.0,40.0,40.0,40.0,42.400000000000006,50.8,158.8000000000001,280.4,1.4421469999997498,1009,40,192.0,112218.57142857143,361.830991854853,1279.9646485954258,6.666482544767843,0.0,0.4068859999997585,0.1500041428571421,0.1883639301311347,1.050028999999995,1,1,0,3,7,0,0,0,40.0,40.0,40.0,40.0,40.0,42.4,61.399999999999935,113.60000000000008,482.20000000000033,1.050028999999995,1009,40,148.26666666666668,62389.39555555554,258.545510408479,1542.1451488651196,10.401158827777337,0.0,0.4068859999997585,0.0961431333333166,0.1659218388392859,1.4421469999997498,2,3,0,5,14,0,0,0,40.0,40.0,40.0,40.0,40.0,41.6,50.39999999999999,150.8000000000001,330.79999999999995,1.4421469999997498,160,140,1.5272727272727273,0,0,0,0,0,SF
867,10.12.19.102,49329,185.130.212.105,443,1,1,3,1,1,1.0,172800000.0,0.0,0,0.9842360097005672,0.0,0,1,893,40,223.4,73290.24000000002,285.36573024804505,1089.4239561110192,4.876562023773586,7.300000015675323e-05,1.0835230000002412,0.227847222222206,0.356554594722527,2.0506249999998545,1,2,0,4,9,0,0,0,40.0,40.0,40.0,40.0,46.0,123.1999999999999,280.4,410.6,504.1999999999998,2.0506249999998545,1009,40,208.55555555555557,99640.91358024692,334.8074488086814,1091.3520380720392,5.232908014197312,0.0,1.0833080000002155,0.1910983333333812,0.3614836242508754,1.719885000000431,1,1,0,3,9,0,0,0,40.0,40.0,40.0,40.0,40.0,43.2,96.19999999999996,275.8000000000001,596.2,1.719885000000431,1009,40,216.3684210526316,85827.07479224376,300.9904410675447,2004.705767612702,9.265241932532556,0.0,1.0833080000002155,0.1079302631579163,0.2647977688933502,2.0506750000004104,2,3,0,7,18,0,0,0,40.0,40.0,40.0,40.0,40.0,50.39999999999999,190.4,423.2000000000001,572.9999999999998,2.0506750000004104,200,180,0.8401969561324978,0,0,0,0,0,SF
868,10.12.19.102,49330,185.130.212.105,443,1,1,3,1,1,1.0,172800000.0,0.0,0,0.9842360097035474,0.0,0,1,398,40,110.0,15651.0,133.74175542012728,547.9568060593786,4.981425509630714,0.0003219999998691,0.4671779999998762,0.2294237142857257,0.2190365236150274,1.6059660000000804,1,2,0,2,7,0,0,0,40.0,40.0,40.0,40.0,40.0,42.400000000000006,50.8,158.8000000000001,280.4,1.6059660000000804,1009,40,192.0,112218.57142857143,361.830991854853,1052.251654125359,5.480477365236244,0.0,0.4669530000001032,0.1824658571428829,0.2288429359912393,1.2772610000001805,1,1,0,3,7,0,0,0,40.0,40.0,40.0,40.0,40.0,42.4,61.399999999999935,113.60000000000008,482.20000000000033,1.2772610000001805,1009,40,148.26666666666668,62389.39555555554,258.545510408479,1384.8362916773383,9.34017283055759,0.0,0.4669530000001032,0.1070644000000053,0.1857911195535553,1.6059660000000804,2,3,0,5,14,0,0,0,40.0,40.0,40.0,40.0,40.0,41.6,50.39999999999999,150.8000000000001,330.79999999999995,1.6059660000000804,160,140,1.5272727272727273,0,0,0,0,0,SF
869,10.12.19.102,49331,185.130.212.105,443,1,1,3,1,1,1.0,172800000.0,0.0,0,0.9842360097062616,0.0,0,1,877,40,221.8,71170.56000000001,281.2088192073641,961.1538699876478,4.333425924200396,1.2999999853491316e-05,1.1776600000002873,0.2564047777777887,0.3923784930753194,2.3076430000000983,1,2,0,4,9,0,0,0,40.0,40.0,40.0,40.0,46.0,123.1999999999999,280.4,410.6,502.5999999999999,2.3076430000000983,1009,40,208.55555555555557,99640.91358024692,334.8074488086814,1019.4443946578162,4.888119100650157,0.0,1.1774359999999433,0.2045776666667128,0.3918114921868681,1.8411990000004157,1,1,0,3,9,0,0,0,40.0,40.0,40.0,40.0,40.0,43.2,96.19999999999996,275.8000000000001,596.2,1.8411990000004157,1009,40,215.52631578947367,84700.24930747921,299.00805794066866,1774.5317641185177,8.23348071263781,0.0,1.1774359999999433,0.1214553157894778,0.2926979411294501,2.307651000000078,2,3,0,7,18,0,0,0,40.0,40.0,40.0,40.0,40.0,50.39999999999999,190.4,423.2000000000001,569.7999999999997,2.307651000000078,200,180,0.8462578899909828,0,0,0,0,0,SF
870,10.12.18.101,49331,185.130.212.105,443,1,1,3,1,1,1.0,172800000.0,0.0,0,0.984236009713368,0.0,0,1,398,40,110.0,15651.0,133.74175542012728,1267.615169319876,11.52377426654433,0.0004929999995511,0.1744269999999232,0.0991738571428868,0.0920515724696703,0.6942170000002079,1,2,0,2,7,0,0,0,40.0,40.0,40.0,40.0,40.0,42.400000000000006,50.8,158.8000000000001,280.4,0.6942170000002079,1009,40,192.0,112218.57142857143,361.830991854853,2585.1672183862643,13.464412595761791,0.0,0.1736549999995986,0.0742698571428783,0.091672422597157,0.5198890000001484,1,1,0,3,7,0,0,0,40.0,40.0,40.0,40.0,40.0,42.4,61.399999999999935,113.60000000000008,482.20000000000033,0.5198890000001484,1009,40,148.26666666666668,62389.39555555554,258.545510408479,3203.609246099323,21.607076749770616,0.0,0.1741480000000592,0.0462811333333471,0.0789359022072842,0.6942170000002079,2,3,0,5,14,0,0,0,40.0,40.0,40.0,40.0,40.0,41.6,50.39999999999999,150.8000000000001,330.79999999999995,0.6942170000002079,160,140,1.5272727272727273,0,0,0,0,0,SF
871,10.12.18.101,49332,185.130.212.105,443,1,1,3,1,1,1.0,172800000.0,0.0,0,0.9842360097188889,0.0,0,1,829,40,236.66666666666663,68452.22222222222,277.50450446794554,35.77679132000581,0.15116954078875697,1.2999999853491316e-05,58.99145900000076,7.441975375000084,20.829327403608644,59.53580300000067,0,2,1,4,8,0,0,0,40.0,40.0,40.0,42.400000000000006,52.0,194.4,330.79999999999995,423.2000000000001,534.6,59.53580300000067,1009,40,192.0,112218.57142857143,361.830991854853,3650.0215905276527,19.010529117331526,0.0,0.1862780000001294,0.0526024285714551,0.0888013317727492,0.3682170000001861,0,1,0,2,7,0,0,0,40.0,40.0,40.0,40.0,40.0,42.4,61.399999999999935,113.60000000000008,482.20000000000033,0.3682170000001861,1009,40,217.125,88090.984375,306.5350170317686,58.351442744460186,0.26874585029112347,0.0,58.99139500000001,3.720987687500042,14.738951612710604,59.53580300000067,0,3,1,6,15,0,0,0,40.0,40.0,40.0,40.0,42.0,52.0,180.5,398.0,645.0,59.53580300000067,180,140,0.6309859154929578,0,0,0,0,0,RSTO
872,10.12.18.101,49333,193.33.133.88,80,1,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,412,40,136.0,25416.0,184.08693598406165,18.121699806114105,0.1332477926920155,0.0002260000001115,29.81992900000023,10.006419666666869,17.15929055034873,30.0192590000006,0,2,1,1,3,0,0,0,40.0,40.0,40.0,42.400000000000006,46.0,49.6,87.99999999999987,196.0000000000001,304.00000000000006,30.0192590000006,44,40,42.0,4.0,2.8284271247461903,0.0,0.0,0.0,0.0003029999998034,0.0001514999999017,0.0002142533545605,0.0003029999998034,0,1,0,0,2,0,0,0,40.4,40.8,41.2,41.6,42.0,42.4,42.8,43.2,43.6,0.0003029999998034,412,40,104.66666666666669,18908.888888888887,150.63421479420492,20.91990345264643,0.19987168903802324,0.0,29.81992000000082,5.003209833333433,12.15791587710114,30.0192590000006,0,3,1,1,5,0,0,0,40.0,40.0,40.0,40.0,42.0,44.0,48.0,52.0,232.0,30.0192590000006,80,40,0.15441176470588236,0,0,0,0,0,RSTO
873,10.12.11.103,49359,217.29.53.132,443,1,1,3,1,1,1.0,172800000.0,0.0,0,0.987707728474757,0.0,0,1,398,40,110.125,15681.109375,133.870339721474,473.25136039611033,4.29740168350611,0.000597999999627,0.5609779999995226,0.2659414285714904,0.2520231025915562,1.861590000000433,1,2,0,2,7,0,0,0,40.0,40.0,40.0,40.0,40.0,42.400000000000006,50.8,159.4000000000001,281.1,1.861590000000433,1009,40,192.0,112218.57142857143,361.830991854853,938.1969724998542,4.886442565103407,0.0,0.5608400000000984,0.2046478571428451,0.2576592722132144,1.4325349999999162,1,1,0,3,7,0,0,0,40.0,40.0,40.0,40.0,40.0,42.4,61.399999999999935,113.60000000000008,482.20000000000033,1.4325349999999162,1009,40,148.33333333333334,62400.35555555556,258.5682188698445,1195.2148432251367,8.057628156573957,0.0,0.5608400000000984,0.1241060000000288,0.214536293037782,1.861590000000433,2,3,0,5,14,0,0,0,40.0,40.0,40.0,40.0,40.0,41.6,50.39999999999999,151.0000000000001,331.19999999999993,1.861590000000433,160,140,1.525539160045403,0,0,0,0,0,SF
874,10.12.11.103,49360,217.29.53.132,443,1,1,3,1,1,1.0,172800000.0,0.0,0,0.9877077284800232,0.0,0,1,893,40,223.5,73291.65,285.36847525027474,779.843947469035,3.489234664290984,1.700000029813964e-05,1.3942729999998846,0.3184397777777121,0.4695758395931416,2.8659579999994094,1,2,0,4,9,0,0,0,40.0,40.0,40.0,40.0,46.0,123.59999999999992,281.1,410.6,504.1999999999998,2.8659579999994094,1009,40,208.55555555555557,99640.91358024692,334.8074488086814,773.3748107250781,3.708243631606661,0.0,1.394072000000051,0.2696694444444397,0.4780519695379623,2.427024999999958,1,1,0,3,9,0,0,0,40.0,40.0,40.0,40.0,40.0,43.2,96.19999999999996,275.8000000000001,596.2,2.427024999999958,1009,40,216.42105263157896,85828.55955678671,300.9930445467089,1434.767787090762,6.629520417004979,0.0,1.394072000000051,0.1508404736841839,0.3530132458829931,2.8659689999994957,2,3,0,7,18,0,0,0,40.0,40.0,40.0,40.0,40.0,50.39999999999999,191.0,423.2000000000001,572.9999999999998,2.8659689999994957,200,180,0.839821029082774,0,0,0,0,0,SF
